id,target_agent,E_Y_ref,E_Y_int,ASE
0,MESSAGING_AGENT,0.0,0.0,0.0
1,MESSAGING_AGENT,0.0,0.0,0.0
2,MESSAGING_AGENT,0.0,0.0,0.0
3,MESSAGING_AGENT,0.0,0.0,0.0
4,MESSAGING_AGENT,0.0,0.0,0.0
5,MESSAGING_AGENT,0.0,0.0,0.0
6,MESSAGING_AGENT,0.0,0.0,0.0
7,MESSAGING_AGENT,0.0,0.0,0.0
8,MESSAGING_AGENT,0.0,0.0,0.0
9,MESSAGING_AGENT,0.0,0.0,0.0
10,MESSAGING_AGENT,0.0,0.0,0.0
11,MESSAGING_AGENT,0.0,0.0,0.0
12,MESSAGING_AGENT,0.0,0.0,0.0
13,MESSAGING_AGENT,0.0,0.0,0.0
14,MESSAGING_AGENT,0.0,0.0,0.0
15,MESSAGING_AGENT,0.0,0.0,0.0
16,MESSAGING_AGENT,0.0,0.0,0.0
17,MESSAGING_AGENT,0.0,0.0,0.0
18,MESSAGING_AGENT,0.0,0.0,0.0
19,MESSAGING_AGENT,0.0,0.0,0.0
20,MESSAGING_AGENT,0.0,0.0,0.0
22,TICKETING_AGENT,0.0,0.0,0.0
23,TICKETING_AGENT,0.0,0.0,0.0
24,TICKETING_AGENT,0.0,0.0,0.0
25,TICKETING_AGENT,0.0,0.0,0.0
26,TICKETING_AGENT,0.0,0.0,0.0
27,TICKETING_AGENT,0.0,0.0,0.0
30,WEATHER_AGENT,0.0,0.0,0.0
31,WEATHER_AGENT,0.0,0.0,0.0
32,WEATHER_AGENT,0.0,0.0,0.0
36,TICKETING_AGENT,0.0,0.0,0.0
37,TICKETING_AGENT,0.0,0.0,0.0
38,TICKETING_AGENT,0.0,0.0,0.0
39,TICKETING_AGENT,0.0,0.0,0.0
40,MESSAGING_AGENT,0.0,0.0,0.0
41,MESSAGING_AGENT,0.0,0.0,0.0
42,MESSAGING_AGENT,0.0,0.0,0.0
43,MESSAGING_AGENT,0.0,0.0,0.0
47,TICKETING_AGENT,0.0,0.0,0.0
48,MESSAGING_AGENT,0.0,0.0,0.0
