key,id,target_agent,ref_mean_Y,int_mean_Y,ase,n_ref_samples,n_int_samples
"(0, 'MESSAGING_AGENT')",0,MESSAGING_AGENT,0.0,0.0,0.0,5,5
"(1, 'MESSAGING_AGENT')",1,MESSAGING_AGENT,0.2,0.4,0.2,5,5
"(10, 'MESSAGING_AGENT')",10,MESSAGING_AGENT,0.0,0.0,0.0,5,5
"(11, 'MESSAGING_AGENT')",11,MESSAGING_AGENT,0.2,0.2,0.0,5,5
"(12, 'MESSAGING_AGENT')",12,MESSAGING_AGENT,0.2,0.6,0.39999999999999997,5,5
"(13, 'MESSAGING_AGENT')",13,MESSAGING_AGENT,0.2,0.0,-0.2,5,5
"(14, 'MESSAGING_AGENT')",14,MESSAGING_AGENT,0.0,0.4,0.4,5,5
"(15, 'MESSAGING_AGENT')",15,MESSAGING_AGENT,0.2,0.2,0.0,5,5
"(16, 'MESSAGING_AGENT')",16,MESSAGING_AGENT,0.0,0.2,0.2,5,5
"(17, 'MESSAGING_AGENT')",17,MESSAGING_AGENT,0.0,0.2,0.2,5,5
"(18, 'MESSAGING_AGENT')",18,MESSAGING_AGENT,0.6,0.4,-0.19999999999999996,5,5
"(19, 'MESSAGING_AGENT')",19,MESSAGING_AGENT,0.0,0.0,0.0,5,5
"(2, 'MESSAGING_AGENT')",2,MESSAGING_AGENT,0.2,0.0,-0.2,5,5
"(20, 'MESSAGING_AGENT')",20,MESSAGING_AGENT,0.2,0.4,0.2,5,5
"(22, 'TICKETING_AGENT')",22,TICKETING_AGENT,0.2,0.8,0.6000000000000001,5,5
"(23, 'TICKETING_AGENT')",23,TICKETING_AGENT,0.4,0.2,-0.2,5,5
"(24, 'TICKETING_AGENT')",24,TICKETING_AGENT,0.6,0.4,-0.19999999999999996,5,5
"(25, 'TICKETING_AGENT')",25,TICKETING_AGENT,0.8,0.2,-0.6000000000000001,5,5
"(26, 'TICKETING_AGENT')",26,TICKETING_AGENT,0.4,0.0,-0.4,5,5
"(27, 'TICKETING_AGENT')",27,TICKETING_AGENT,0.2,1.0,0.8,5,5
"(3, 'MESSAGING_AGENT')",3,MESSAGING_AGENT,0.0,0.0,0.0,5,5
"(30, 'WEATHER_AGENT')",30,WEATHER_AGENT,0.4,0.6,0.19999999999999996,5,5
"(31, 'WEATHER_AGENT')",31,WEATHER_AGENT,0.4,0.2,-0.2,5,5
"(32, 'WEATHER_AGENT')",32,WEATHER_AGENT,0.0,0.0,0.0,5,5
"(36, 'TICKETING_AGENT')",36,TICKETING_AGENT,0.4,0.8,0.4,5,5
"(37, 'TICKETING_AGENT')",37,TICKETING_AGENT,0.0,0.0,0.0,5,5
"(38, 'TICKETING_AGENT')",38,TICKETING_AGENT,0.2,0.2,0.0,5,5
"(39, 'TICKETING_AGENT')",39,TICKETING_AGENT,0.2,0.2,0.0,5,5
"(4, 'MESSAGING_AGENT')",4,MESSAGING_AGENT,0.4,0.2,-0.2,5,5
"(40, 'MESSAGING_AGENT')",40,MESSAGING_AGENT,0.4,0.6,0.19999999999999996,5,5
"(41, 'MESSAGING_AGENT')",41,MESSAGING_AGENT,0.0,0.4,0.4,5,5
"(42, 'MESSAGING_AGENT')",42,MESSAGING_AGENT,0.4,0.2,-0.2,5,5
"(43, 'MESSAGING_AGENT')",43,MESSAGING_AGENT,0.2,0.4,0.2,5,5
"(47, 'TICKETING_AGENT')",47,TICKETING_AGENT,0.2,0.2,0.0,5,5
"(48, 'MESSAGING_AGENT')",48,MESSAGING_AGENT,0.0,0.0,0.0,5,5
"(5, 'MESSAGING_AGENT')",5,MESSAGING_AGENT,0.0,0.0,0.0,5,5
"(6, 'MESSAGING_AGENT')",6,MESSAGING_AGENT,0.0,0.2,0.2,5,5
"(7, 'MESSAGING_AGENT')",7,MESSAGING_AGENT,0.2,0.4,0.2,5,5
"(8, 'MESSAGING_AGENT')",8,MESSAGING_AGENT,0.0,0.4,0.4,5,5
"(9, 'MESSAGING_AGENT')",9,MESSAGING_AGENT,0.0,0.0,0.0,5,5
